Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa
Cálculo Diferencial e Integral I;FAMAT31011;1;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Programação Script;FEELT!PS;1;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;;;Fundamentos de Programação|Fundamentos de Sistemas Computacionais|Estruturas de Dados; Algoritmos e Complexidade|Linguagens de Programação;Aplicação|Compreensão|Compreensão|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação;Compreensão|Compreensão|Aplicação|Aplicação|Aplicação;Autodirigido|Meticuloso|Inventivo
Geometria Analítica;FAMAT31021;1;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Introdução à Engenharia de Computação;FEELT31103;1;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação|Perspectivas Éticas e Interculturais;Aplicação|Aplicação|Compreensão;Responsável|Colaborativo|Profissional;
Introdução à Prototipagem Eletrônica;FEELT!IPE;1;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação|Aplicação|Compreensão;Inventivo|Autodirigido|Proativo;
Lógica e Matemática Discreta;FEELT!LMD;1;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;Fundamentos de Programação|Estruturas de Dados; Algoritmos e Complexidade;Compreensão|Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita;Aplicação|Aplicação|Compreensão|Compreensão;Meticuloso|Adaptável|Orientado por Propósito
Álgebra Linear;FAMAT31022;2;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31021;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Programação Procedimental;FEELT!PP;2;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PS;;Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados; Algoritmos e Complexidade;Aplicação|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Inventivo|Adaptável
Cálculo Diferencial e Integral II;FAMAT31012;2;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Computação e Sociedade;FEELT!CS;2;30;0;0;0;30;False;False;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Avaliação;Pensamento Analítico e Crítico|Perspectivas Éticas e Interculturais|Comunicação Escrita|Comunicação Oral e Apresentação;Avaliação|Análise|Aplicação|Aplicação;Responsável|Profissional|Orientado por Propósito;
Estrutura de Dados;FEELT!ED;3;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Estruturas de Dados; Algoritmos e Complexidade|Fundamentos de Sistemas Computacionais|Fundamentos de Programação;Análise|Aplicação|Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Aplicação;Meticuloso|Inventivo|Adaptável
Física Básica: Mecânica;INFIS39031;2;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31011;INFIS39032;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Física Básica: Mecânica, Experimental de;INFIS39032;2;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39031;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Sistemas Digitais;FEELT31409;2;30;0;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT!LMD;FEELT31410;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Sistemas Digitais, Experimental de;FEELT31410;2;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;FEELT31409;Circuitos e Eletrônica|Design Digital;Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Arte da Programação II;FEELT!PP;3;45;15;0;0;60;False;False;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP;;Fundamentos de Programação|Linguagens de Programação|Fundamentos de Sistemas Computacionais;Aplicação|Aplicação|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido;
Cálculo Diferencial e Integral III;FAMAT31013;3;90;0;0;0;90;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31012;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Elementos de Sistemas Computacionais;FEELT!ESC;3;30;0;30;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31409;;Design Digital|Circuitos e Eletrônica|Arquitetura e Organização de Computadores;Análise|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Proativo;
Física Básica: Eletricidade e Magnetismo;INFIS39033;3;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;INFIS39031;INFIS39034;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Física Básica: Eletricidade e Magnetismo, Experimental de;INFIS39034;3;0;30;0;0;30;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;INFIS39033;Circuitos e Eletrônica;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Metrologia;FEELT31204;2;30;30;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;True;;;Processamento de Sinais|Circuitos e Eletrônica;Compreensão|Compreensão;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Controle e Garantia de Qualidade;Aplicação|Aplicação|Aplicação;Meticuloso|Responsável|Orientado por Propósito;
Programação Orientada a Objetos;FEELT!POO;3;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!PP;;Análise e Design de Sistemas|Questões e Princípios de Segurança|Gestão de Dados e Informações;Análise|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Meticuloso|Colaborativo;
Arquitetura e Organização de Computadores;FEELT!AOC;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT!ESC;;Arquitetura e Organização de Computadores|Design Digital|Circuitos e Eletrônica;Aplicação|Compreensão|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise;Adaptável|Meticuloso|Responsável;
Atividades Curriculares de Extensão I;ACE1;4;-1;-1;-1;100;100;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;;;;;;;;
Banco de Dados;FEELT!BD;4;15;45;0;0;60;True;True;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!ED;;Gestão de Dados e Informação|Questões e Princípios de Segurança;Análise|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Circuitos Eletro Elétricos I;FEELT31301;4;75;0;0;0;75;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;INFIS39033;FEELT31302;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Circuitos Eletro Elétricos I, Experimental de;FEELT31302;4;0;15;0;0;15;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31204;FEELT31301;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Física Básica: Oscilações, Ondas e Óptica;INFIS31402;4;60;0;0;0;60;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;INFIS39033;INFIS39056;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Física Básica: Oscilações, Ondas e Óptica, Experimental de;INFIS39056;4;0;30;0;0;30;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;;INFIS31402;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Métodos Matemáticos;FAMAT31031;4;75;0;0;0;75;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Programação Funcional;FEELT!PF;3;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;;;Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados; Algoritmos e Complexidade;Análise|Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Compreensão|Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido
Análise de Algoritmos;FEELT!AA;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!ED;;Estruturas de Dados; Algoritmos e Complexidade;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Pesquisa e Aprendizagem Independente;Aplicação|Avaliação|Aplicação;Inventivo|Meticuloso|Orientado por Propósito
Atividades Curriculares de Extensão II;ACE2;5;-1;-1;-1;100;100;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE1;;;;;;;
